window_end,window_start,observations,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,pc1_pc3_cumulative_explained_variance_ratio,pc1_abs_cosine_similarity_to_previous_window
2017-09-12,2014-09-12,756,0.40244681278796013,0.1374319113129063,0.09227399754816498,0.6321527216490315,0.9999767925881139
2017-10-11,2014-10-13,756,0.3979892545192269,0.13784934172853947,0.09241901732586547,0.6282576135736317,0.9999689313509518
2017-11-09,2014-11-11,756,0.3956939442127484,0.13888941771958985,0.09238239979197996,0.6269657617243182,0.9999729734479214
2017-12-11,2014-12-11,756,0.3963660674488902,0.14016015173164717,0.08892277730644552,0.6254489964869828,0.9999827514758177
2018-01-11,2015-01-13,756,0.3899529781598669,0.14265154315039844,0.08971160899837137,0.6223161303086368,0.9999012451999969
2018-02-12,2015-02-12,756,0.39642984863431685,0.14386819348508623,0.0883444016499533,0.6286424437693563,0.9995462251724484
2018-03-14,2015-03-16,756,0.3998227361650991,0.14203383461447205,0.08813786176512624,0.6299944325446974,0.9999701891155427
2018-04-13,2015-04-15,756,0.40987421910154376,0.13793928408353756,0.08818278790374676,0.635996291088828,0.9996968016622535
2018-05-14,2015-05-14,756,0.40976443143260527,0.13872241605666757,0.08760632371439066,0.6360931712036635,0.9999211518893658
2018-06-13,2015-06-15,756,0.4113454620362451,0.1376047801415666,0.08749620901578672,0.6364464511935984,0.9999074517681437
2018-07-13,2015-07-15,756,0.40771197687388133,0.14007840845275915,0.08779205736935956,0.6355824426960001,0.9999011822545584
2018-08-13,2015-08-13,756,0.4078900654633572,0.14221363374146617,0.08728747973717194,0.6373911789419953,0.9997348091087661
2018-09-12,2015-09-14,756,0.38620764376478917,0.14423996004487752,0.08946785600784245,0.6199154598175092,0.9993113551043271
2018-10-11,2015-10-13,756,0.3833961237840817,0.14502307648224466,0.08962065906022038,0.6180398593265468,0.9998134184244842
2018-11-09,2015-11-11,756,0.3871915422225673,0.14344914659986224,0.08902127635364541,0.619661965176075,0.9998361122357036
2018-12-12,2015-12-11,756,0.3910944126110869,0.14230959235028315,0.08927746353291462,0.6226814684942847,0.9997503413850019
