date,window_start,window_end,observations,n_assets,n_components,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,pc4_explained_variance_ratio,pc5_explained_variance_ratio,pc1_pc5_cumulative_explained_variance_ratio,reconstruction_rmse,reconstruction_mae
2014-10-17,2009-10-30,2014-10-17,260,29,5,0.48746003115318703,0.10545588255485959,0.07861101396359058,0.04208197622374784,0.03368593533669523,0.7472948392320804,0.628702523890824,0.4709354827671707
2014-10-24,2009-11-06,2014-10-24,260,29,5,0.4844553831370556,0.10620315266537074,0.07999396960168144,0.04215154598939005,0.034246823593548754,0.7470508749870467,0.4273737747862708,0.30923849153389776
2014-10-31,2009-11-13,2014-10-31,260,29,5,0.4832659265154978,0.10666154893669175,0.08056359394840865,0.04217891065839881,0.03437393419150902,0.7470439142505061,0.512703716719721,0.37503807785486315
2014-11-07,2009-11-20,2014-11-07,260,29,5,0.4828557515686188,0.10652918109824579,0.08075618517354943,0.04214049243854671,0.034593993827264496,0.7468756041062252,0.4230459832927119,0.31580340394509004
2014-11-14,2009-11-27,2014-11-14,260,29,5,0.48272709581692763,0.10615371408798324,0.08058067902445575,0.041823649169177836,0.0344193443436561,0.7457044824422006,0.7207768872308562,0.5066952833298605
2014-11-21,2009-12-04,2014-11-21,260,29,5,0.4828094691311293,0.10611674440591265,0.08049654080775674,0.04190292747369452,0.03444734907287151,0.7457730308913647,0.3619753437565977,0.27502572818358223
2014-11-28,2009-12-11,2014-11-28,260,29,5,0.48059247012052414,0.10562793706184191,0.08275199489902978,0.042367178515033736,0.03443124111517815,0.7457708217116076,0.8406808128702181,0.658478293658304
2014-12-05,2009-12-18,2014-12-05,260,29,5,0.48056442998574217,0.10518813401597742,0.08243924752342698,0.04264379236508762,0.03440147406035743,0.7452370779505917,0.6725786464492823,0.5650524588145813
2014-12-12,2009-12-25,2014-12-12,260,29,5,0.4843597762229945,0.10457538268659204,0.08165168078485545,0.041720824344075036,0.03446262304301258,0.7467702870815295,0.7643425427677133,0.5853203322297469
2014-12-19,2010-01-01,2014-12-19,260,29,5,0.48289867859463415,0.10462570349378665,0.08162086141674404,0.04196041862062582,0.03432399323328794,0.7454296553590787,0.7576531577560195,0.5563394212659605
2014-12-26,2010-01-08,2014-12-26,260,29,5,0.4826224286930956,0.10466929596492235,0.08126470029571864,0.041967751014652215,0.03443035041807679,0.7449545263864655,0.6040817818464755,0.4398423629819305
2015-01-02,2010-01-15,2015-01-02,260,29,5,0.4843846641898052,0.1033817596571769,0.08113156412597246,0.041894106243815545,0.034532639331501774,0.7453247335482718,0.44863374071505746,0.37391788136789345
2015-01-09,2010-01-22,2015-01-09,260,29,5,0.4831903989634754,0.10374733942461792,0.08078912430116994,0.04184479252238595,0.0354555220384873,0.7450271772501365,0.5585106985861452,0.4021312629872911
2015-01-16,2010-01-29,2015-01-16,260,29,5,0.4790890524044685,0.10457778645308756,0.08103801975161709,0.04200312509523529,0.03550873086517713,0.7422167145695855,0.7136083135690676,0.5702475533611581
2015-01-23,2010-02-05,2015-01-23,260,29,5,0.47770529201093886,0.10436369424215204,0.08106597676438801,0.04273963865564477,0.03586846063462569,0.7417430623077493,0.5250574058945201,0.41514436474520744
2015-01-30,2010-02-12,2015-01-30,260,29,5,0.4779128760172187,0.10441231311256138,0.0810838254390237,0.042132570298003866,0.03674979665301681,0.7422913815198244,0.8016223592921329,0.5210966649369425
2015-02-06,2010-02-19,2015-02-06,260,29,5,0.47878938196879045,0.10523908656213797,0.08035616209388523,0.042263261935646626,0.03649753694682465,0.7431454295072849,0.6682304155859264,0.518654590377522
2015-02-13,2010-02-26,2015-02-13,260,29,5,0.4777839259737791,0.1056224127673129,0.0810906665315958,0.04250590902597476,0.03663330979715419,0.7436362240958168,0.40108524695415004,0.33875480310151695
2015-02-20,2010-03-05,2015-02-20,260,29,5,0.47747824276462253,0.10599160120652111,0.08117648469167638,0.04249625671771869,0.03651820156607516,0.7436607869466139,0.5289066007386103,0.41139492501258934
2015-02-27,2010-03-12,2015-02-27,260,29,5,0.4758870852621979,0.10628273776439859,0.0813962086973505,0.04262671320354308,0.03658628934739402,0.7427790342748841,0.49343921308251737,0.37315398479177964
2015-03-06,2010-03-19,2015-03-06,260,29,5,0.4745326358009966,0.10913864251924935,0.08141723435828284,0.0424501411209801,0.03631049617421442,0.7438491499737233,0.4362914891131812,0.3536708489309497
2015-03-13,2010-03-26,2015-03-13,260,29,5,0.4751029261600016,0.1087509851521977,0.08139246310226655,0.04230246060221635,0.036041401050161494,0.7435902360668437,0.5988577754658063,0.4577258580824887
2015-03-20,2010-04-02,2015-03-20,260,29,5,0.4746623652355394,0.11008829160105067,0.08149967336817796,0.0421691885422884,0.03585929076819808,0.7442788095152545,0.4550430196629429,0.35585025266587733
2015-03-27,2010-04-09,2015-03-27,260,29,5,0.4746700994767387,0.10973372674235367,0.08242923720643573,0.042121754328613654,0.03596831433880471,0.7449231320929464,0.4009072333490427,0.327543338108442
2015-04-03,2010-04-16,2015-04-03,260,29,5,0.4742014626777229,0.10999260853716966,0.08230446714982687,0.042123272992959315,0.03622161911522759,0.7448434304729064,0.5042871506788147,0.3769182282299073
2015-04-10,2010-04-23,2015-04-10,260,29,5,0.47406503828396557,0.11035348443800304,0.08220744025384008,0.04193481375165469,0.035988265657681456,0.7445490423851447,0.7846269481930215,0.5294900680616372
2015-04-17,2010-04-30,2015-04-17,260,29,5,0.4738392898300686,0.1106610984802771,0.08263679427690238,0.04221039846326552,0.036587485524120014,0.7459350665746337,0.38543053427654467,0.3132904792384218
2015-04-24,2010-05-07,2015-04-24,260,29,5,0.47221868823649116,0.11061876024874949,0.08285525893159591,0.04252634938114785,0.036563235616669076,0.7447822924146535,0.8288076112988222,0.5656646262274152
2015-05-01,2010-05-14,2015-05-01,260,29,5,0.46314175812140634,0.11200299957499234,0.08602081222561068,0.04374942442302498,0.03609116781908281,0.7410061621641172,0.5348798235239278,0.3611470825506726
2015-05-08,2010-05-21,2015-05-08,260,29,5,0.4639000528678099,0.111956782273344,0.08597521780791667,0.04372377180379754,0.03619223955239278,0.741748064305261,0.4308772958506638,0.34364019358855563
2015-05-15,2010-05-28,2015-05-15,260,29,5,0.46020024303643764,0.1129669522882273,0.08723561545579271,0.044181477212734285,0.03658019252138786,0.7411644805145798,0.27362341112586785,0.2170816507304869
2015-05-22,2010-06-04,2015-05-22,260,29,5,0.46066789811652703,0.11379301530592681,0.0863250761294057,0.04388510953085946,0.03664255822494688,0.7413136573076659,0.5319809033828747,0.38669385422154867
2015-05-29,2010-06-11,2015-05-29,260,29,5,0.4598757714438506,0.11392539572771491,0.0864767987846459,0.04385555563902716,0.03679160737224044,0.740925128967479,0.43176527577022616,0.31319965290132445
2015-06-05,2010-06-18,2015-06-05,260,29,5,0.45810145582812895,0.11563964026968906,0.08729279060529463,0.043094231585734055,0.03671834301262553,0.7408464613014721,0.4960376232127097,0.3491995892634282
2015-06-12,2010-06-25,2015-06-12,260,29,5,0.4571185453860982,0.11506593086918544,0.08775167460170911,0.043390299952690926,0.03684427209606494,0.7401707229057486,0.2744395034423287,0.22313130865871114
2015-06-19,2010-07-02,2015-06-19,260,29,5,0.4557341363940619,0.11584272574949406,0.08758182562488928,0.04372837962189998,0.03676985803507794,0.7396569254254232,0.4926508009298733,0.3667233150169404
2015-06-26,2010-07-09,2015-06-26,260,29,5,0.45174767835474394,0.11717907675208665,0.08849780452740381,0.0439158624799453,0.03705116488214196,0.7383915869963217,0.41389179545784943,0.282703977965319
2015-07-03,2010-07-16,2015-07-03,260,29,5,0.44853795613687886,0.117245686445443,0.08903040426543452,0.04426821329745708,0.03711497579990817,0.7361972359451217,0.4492333673698876,0.34320290462768827
2015-07-10,2010-07-23,2015-07-10,260,29,5,0.4478200262111858,0.117445939462673,0.08967185184647883,0.04438711730003225,0.037324028423777,0.7366489632441469,0.44968598701977,0.33089603483823204
2015-07-17,2010-07-30,2015-07-17,260,29,5,0.44515137880234223,0.1174088324352662,0.09164885422616519,0.045575861326801324,0.03736880238872243,0.7371537291792974,0.9033746813202416,0.5387111319414879
2015-07-24,2010-08-06,2015-07-24,260,29,5,0.44691346707408675,0.11721328071692842,0.09109360559729938,0.04532634564403479,0.037041578590282176,0.7375882776226315,0.5531253264939352,0.4683787317242972
2015-07-31,2010-08-13,2015-07-31,260,29,5,0.44653432069882576,0.11690246499192167,0.09190397514083082,0.045333130919311654,0.03707479029887945,0.7377486820497694,0.400548606579226,0.31512530159205343
2015-08-07,2010-08-20,2015-08-07,260,29,5,0.4431158568990644,0.1172076846503711,0.09234128865122694,0.04547102970717383,0.03729923608512831,0.7354350959929646,0.7466427256756983,0.5070075955924426
2015-08-14,2010-08-27,2015-08-14,260,29,5,0.44293871141112245,0.11715952129669786,0.09220317362200951,0.045453108250099024,0.03748713188682594,0.7352416464667548,0.5915722126716406,0.4232293837808927
2015-08-21,2010-09-03,2015-08-21,260,29,5,0.4493653297980938,0.116475484485015,0.09165621440099118,0.044360683452434456,0.03671201325232829,0.7385697253888628,0.751621388358733,0.6255199151529641
2015-08-28,2010-09-10,2015-08-28,260,29,5,0.44746444112911,0.1169472650286569,0.09219143498394784,0.044513913653769124,0.037318236945023786,0.7384352917405077,0.5299772014474899,0.43965259367640125
2015-09-04,2010-09-17,2015-09-04,260,29,5,0.44928352558595913,0.11669316115029242,0.09229845206334066,0.044209421157119885,0.03738451992492386,0.739869079881636,0.5396670288677133,0.41293373168371655
2015-09-11,2010-09-24,2015-09-11,260,29,5,0.44988938294787567,0.11637117010889782,0.09257377710277238,0.04404005806808133,0.03715258118268194,0.7400269694103091,0.5211398363145374,0.3639887681548131
2015-09-18,2010-10-01,2015-09-18,260,29,5,0.4498566702708806,0.11594768468303773,0.09280060466557294,0.044043500990905,0.03718706724384261,0.7398355278542389,0.47358065861981724,0.3696055453944993
2015-09-25,2010-10-08,2015-09-25,260,29,5,0.4493652095412582,0.11573847339769294,0.09209719828169897,0.04391387583530987,0.03693185575618565,0.7380466128121456,0.8040847336910993,0.6179668925535867
2015-10-02,2010-10-15,2015-10-02,260,29,5,0.4481030324148112,0.11560195760126794,0.09239559337712223,0.043856516252956855,0.03701985152935243,0.7369769511755105,0.7586062965136071,0.550767465316992
2015-10-09,2010-10-22,2015-10-09,260,29,5,0.4507897466787967,0.11540308703514617,0.09227768566008823,0.04355109493956018,0.036463510680916744,0.7384851249945079,0.5477263131822052,0.4091146866227308
2015-10-16,2010-10-29,2015-10-16,260,29,5,0.4495787587379744,0.11547861317438118,0.09133739546160881,0.04341523697175747,0.035991717848632754,0.7358017221943546,1.1097203827233002,0.7074958481785053
2015-10-23,2010-11-05,2015-10-23,260,29,5,0.4485754190557254,0.11567716424067204,0.09182081518471175,0.04393310961547421,0.03611815877783447,0.7361246668744178,0.6524419098875356,0.4667210596095225
2015-10-30,2010-11-12,2015-10-30,260,29,5,0.4463807590344699,0.11605823117188553,0.09176445701527546,0.04405033525638846,0.036532438160726044,0.7347862206387454,0.5775072689962569,0.4170165960239795
2015-11-06,2010-11-19,2015-11-06,260,29,5,0.446670666042969,0.11584290389392914,0.09195071909724413,0.04411115246394455,0.03648356044223018,0.7350590019403171,0.5841757154904227,0.4997658320081181
2015-11-13,2010-11-26,2015-11-13,260,29,5,0.44965956505287014,0.11575606543449395,0.09144228584021746,0.04374303055676296,0.036095327941024546,0.7366962748253691,0.5254866155645055,0.3919551296029048
2015-11-20,2010-12-03,2015-11-20,260,29,5,0.4503866256428428,0.1156362547924905,0.09221289848498715,0.04322215650202936,0.036223534593290675,0.7376814700156404,0.44081818926051614,0.3357442339782918
2015-11-27,2010-12-10,2015-11-27,260,29,5,0.44850945312047275,0.11620991148746397,0.09201159126604601,0.043304128649249755,0.03666244158942237,0.7366975261126547,0.4893123067101971,0.34499392760351727
2015-12-04,2010-12-17,2015-12-04,260,29,5,0.4484887808782394,0.11500145039991684,0.09187321833098003,0.043339246655076616,0.037529636636288735,0.7362323329005016,0.5614411165456878,0.39608123698593
2015-12-11,2010-12-24,2015-12-11,260,29,5,0.452283713671137,0.11446479008323741,0.09129727988240019,0.043035994400937916,0.03748660537628879,0.7385683834140013,0.4117663608166829,0.3064165561019511
2015-12-18,2010-12-31,2015-12-18,260,29,5,0.4515266937295654,0.11441660149024574,0.09123126411364021,0.04322019508536818,0.03739522828707859,0.7377899827058982,0.6400991705851915,0.49785662540570497
2015-12-25,2011-01-07,2015-12-25,260,29,5,0.4532914037921,0.11373175811133066,0.0907009417389857,0.043296039715743015,0.03730727590161237,0.7383274192597717,0.290783432137386,0.21659677920705558
2016-01-01,2011-01-14,2016-01-01,260,29,5,0.454901793031568,0.11377165638617441,0.09010279558397127,0.04277274546249288,0.037407714951631484,0.7389567054158381,0.33795112946997724,0.2678802178550975
2016-01-08,2011-01-21,2016-01-08,260,29,5,0.46000368713446294,0.11301091796425873,0.08915183050095254,0.0426191867895536,0.037762685935286235,0.742548308324514,0.6128266376459462,0.4739462274841753
2016-01-15,2011-01-28,2016-01-15,260,29,5,0.46137273207193596,0.11252974411249231,0.08883042850829348,0.04161292551432312,0.03749534480158542,0.7418411750086303,0.7592160642296755,0.5232912263881273
2016-01-22,2011-02-04,2016-01-22,260,29,5,0.46213799991144655,0.11276355627135744,0.08859036955782133,0.04154082182230805,0.037430888091253015,0.7424636356541864,0.4204112774149802,0.3152015210503622
2016-01-29,2011-02-11,2016-01-29,260,29,5,0.4600112798936819,0.11502439766707032,0.08797236135575173,0.04178358963281733,0.037243380723821905,0.7420350092731433,0.8602458907687156,0.6247349128687315
2016-02-05,2011-02-18,2016-02-05,260,29,5,0.4609446195405499,0.1150139074286494,0.08793174488933743,0.04251300581528611,0.03749416376686375,0.7438974414406865,0.6730039060253895,0.4707217708633808
2016-02-12,2011-02-25,2016-02-12,260,29,5,0.4609946329641553,0.11465329889343413,0.08763327083497031,0.04254222679294464,0.037740623552233656,0.743564053037738,0.5679274220987643,0.46027129429310654
2016-02-19,2011-03-04,2016-02-19,260,29,5,0.4617695109755723,0.11464365391487755,0.08687197519807129,0.04298808317178744,0.03663988177717024,0.7429131050374789,0.6128748006136796,0.3904162117628489
2016-02-26,2011-03-11,2016-02-26,260,29,5,0.4624259381121371,0.11461952803761552,0.08630164059363009,0.04288821161002589,0.03681898658199319,0.7430543049354018,0.5043060016995023,0.42265412603279257
2016-03-04,2011-03-18,2016-03-04,260,29,5,0.4635024177474676,0.11415667585033439,0.08654630211659776,0.042719693221757775,0.03656734390810388,0.7434924328442614,0.6269383599084848,0.4964360901504833
